movieId,title,genres,overview
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Woody the cowboy is young Andy’s favorite toy. Yet this changes when Andy get the new super toy Buzz Lightyear for his birthday. Now that Woody is no longer number one he plans his revenge on Buzz. Toy Story is a milestone in film history for being the first feature film to use entirely computer animation.
2,Jumanji (1995),Adventure|Children|Fantasy,When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game which proves risky as all three find themselves running from giant rhinoceroses evil monkeys and other terrifying creatures.
3,Grumpier Old Men (1995),Comedy|Romance,A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile a sultry Italian divorcée opens a restaurant at the local bait shop alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Cheated on mistreated and stepped on the women are holding their breath waiting for the elusive "good man" to break a string of less-than-stellar lovers. Friends and confidants Vannah Bernie Glo and Robin talk it all out determined to find a better way to breathe.
5,Father of the Bride Part II (1995),Comedy,Just when George Banks has recovered from his daughter's wedding he receives the news that she's pregnant ... and that George's wife Nina is expecting too. He was planning on selling their home but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.
6,Heat (1995),Action|Crime|Thriller,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.
7,Sabrina (1995),Comedy|Romance,An ugly duckling having undergone a remarkable change still harbors feelings for her crush: a carefree playboy but not before his business-focused brother has something to say about it.
8,Tom and Huck (1995),Adventure|Children,A mischievous young boy Tom Sawyer witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.
9,Sudden Death (1995),Action,International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed suspense thriller set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...
10,GoldenEye (1995),Action|Adventure|Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.
11,"American President, The (1995)",Comedy|Drama|Romance,Widowed U.S. president Andrew Shepherd one of the world's most powerful men can have anything he wants -- and what he covets most is Sydney Ellen Wade a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.
12,Dracula: Dead and Loving It (1995),Comedy|Horror,When a lawyer shows up at the vampire's doorstep he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing who may be the only one able to vanquish the count.
13,Balto (1995),Adventure|Animation|Children,An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome Alaska.
14,Nixon (1995),Drama,An all-star cast powers this epic look at American President Richard M. Nixon a man carrying both the fate of the world on his shoulders while battling the self-destructive demands within. From his victorious presidential election to the shocking Watergate scandal that would seal his doom.
15,Cutthroat Island (1995),Action|Adventure|Romance,Morgan Adams and her slave William Shaw are on a quest to recover the three portions of a treasure map. Unfortunately the final portion is held by her murderous uncle Dawg. Her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.
16,Casino (1995),Crime|Drama,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.
17,Sense and Sensibility (1995),Drama|Romance,Rich Mr. Dashwood dies leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.
18,Four Rooms (1995),Comedy,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
19,Ace Ventura: When Nature Calls (1995),Comedy,Summoned from an ashram in Tibet Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails the result will be a vicious tribal war.
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother a fellow cop tries to protect him.
21,Get Shorty (1995),Comedy|Crime|Thriller,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins (1995),Action|Crime|Thriller,Assassin Robert Rath arrives at a funeral to kill a prominent mobster only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.
24,Powder (1995),Drama|Sci-Fi,Harassed by classmates who won't accept his shocking appearance a shy young man known as "Powder" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.
25,Leaving Las Vegas (1995),Drama|Romance,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama,Joey comes home after nearly a decade of living in the States. With Joey back the four friends find themselves complete again they reminisce on the good old times marvel at the changes in each other’s lives. Indeed a lot of things may have changed through the years but some things remain constant.
28,Persuasion (1995),Drama|Romance,This film adaptation of Jane Austen's last novel follows Anne Elliot the daughter of a financially troubled aristocratic family who is persuaded to break her engagement to Frederick Wentworth a young sea captain of meager means. Years later money troubles force Anne's father to rent out the family estate to Admiral Croft and Anne is again thrown into company with Frederick -- who is now rich successful and perhaps still in love with Anne.
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,A scientist in a surrealist society kidnaps children to steal their dreams hoping that they slow his aging process.
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,Dangerous Minds (1995),Drama,Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day she decides she must throw decorum to the wind. When Johnson returns to the classroom she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,In the year 2035 convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996 he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and patient Jeffrey Goines the son of a famous virus expert who may hold the key to the mysterious rogue group the Army of the 12 Monkeys thought to be responsible for unleashing the killer disease.
34,Babe (1995),Children|Drama,Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom Babe realizes that he has the makings to become the greatest sheep pig of all time and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.
35,Carrington (1995),Drama|Romance,The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge Strachey was able to welcome him as a friend although Partridge remained somewhat uneasy not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.
36,Dead Man Walking (1995),Crime|Drama,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.
37,Across the Sea of Time (1995),Documentary|IMAX,A young Russian boy Thomas Minton travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors who had emigrated decades ago but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way the audience gets to see the Big Apple in former times as well as today.
38,It Takes Two (1995),Children|Comedy,Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad Roger and the kind social worker who cares for Amanda.
39,Clueless (1995),Comedy|Romance,Shallow rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker Cher first coaxes two teachers into dating each other. Emboldened by her success she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.
40,"Cry, the Beloved Country (1995)",Drama,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,Richard III (1995),Drama|War,Shakespeare's Play transplanted into a 1930s setting.
42,Dead Presidents (1995),Action|Crime|Drama,Depicts a heist of old bills retired from circulation and destined by the government to be "money to burn". However more broadly it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States during the 1960s.
43,Restoration (1995),Drama,An aspiring young physician Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend he rediscovers his love for true medicine and what it really means to be a physician.
44,Mortal Kombat (1995),Action|Adventure|Fantasy,For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament desolation and evil will reign over the multiverse forever. To save Earth three warriors must overcome seemingly insurmountable odds their own inner demons and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.
45,To Die For (1995),Comedy|Drama|Thriller,Susan wants to work in television and will therefore do anything it takes even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.
46,How to Make an American Quilt (1995),Drama|Romance,Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head Finn visits her grandmother Hy and great aunt Glady Joe Cleary in Grasse Calif. There Finn learns that Hy and Glady Joe are members of a group of passionate quilters and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming and soon she comes face to face with it in the form of Capt. John Smith.
49,When Night Is Falling (1995),Drama|Romance,A prudish woman working on tenure as a literacy professor at a large urban university finds herself strangely attracted to a free-spirited liberal woman whom works at a local carnival which comes to town.
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which begin when five criminals meet at a seemingly random police lineup.
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,When Lenny and his wife Amanda adopt a baby Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash a kindhearted prostitute and porn star Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.
53,Lamerica (1994),Adventure|Drama,Fiore an Italian conman arrives in post Communist Albania with Gino his young apprentice to set up a shoe factory that will never open. The con requires a native Albanian so they designate Spiro an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.
54,"Big Green, The (1995)",Children|Comedy,In a depressed Texas town British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first but Anna and her football-hero assistant whip them into shape. As they work overtime the pair help kids build their self-esteem and also get involved in solving family squabbles.
55,Georgia (1995),Drama,Sadie looks up to her older sister Georgia a successful folk singer who's happily married with children but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze and also to her own unwise choice in men. Finally though Sadie's Achilles heel is a rough unlovely voice very different than her sister's crowd-pleasing singing.
57,Home for the Holidays (1995),Drama,After losing her job making out with her soon to be ex-boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,It is 2013. War has crippled the Earth. Technology has been erased. Our only hope is an unlikely hero. What begins as a con game becomes one man's quest to rebuild civilization by resuming postal service.
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,Action - A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town. -  Peter Quartaroli Jane Longenecker Victor Browne
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
61,Eye for an Eye (1996),Drama|Thriller,It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob the monster who raped and murdered her 17-year-old daughter.
