movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2,Jumanji (1995),Adventure|Children|Fantasy,When two kids find and play a magical board game they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.
3,Grumpier Old Men (1995),Comedy|Romance,John and Max resolve to save their beloved bait shop from turning into an Italian restaurant just as its new female owner catches Max's attention.
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Based on Terry McMillan's novel this film follows four very different African-American women and their relationships with the male gender.
5,Father of the Bride Part II (1995),Comedy,N/A
6,Heat (1995),Action|Crime|Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7,Sabrina (1995),Comedy|Romance,A playboy becomes interested in the daughter of his family's chauffeur but it's his more serious brother who would be the better man for her.
8,Tom and Huck (1995),Adventure|Children,Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc Tom steps up as a witness not respecting the promise made to Huck to lay low.
9,Sudden Death (1995),Action,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10,GoldenEye (1995),Action|Adventure|Thriller,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.
11,"American President, The (1995)",Comedy|Drama|Romance,Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board but "politics is perception" and sparks fly anyway.
12,Dracula: Dead and Loving It (1995),Comedy|Horror,The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.
13,Balto (1995),Adventure|Animation|Children,An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome Alaska.
14,Nixon (1995),Drama,A biographical story of former U.S. president Richard Milhous Nixon from his days as a young boy to his eventual presidency which ended in shame.
15,Cutthroat Island (1995),Action|Adventure|Romance,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16,Casino (1995),Crime|Drama,Greed deception money power and murder occur between two best friends a mafia underboss and a casino owner for a trophy wife over a gambling empire.
17,Sense and Sensibility (1995),Drama|Romance,Rich Mr. Dashwood dies leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.
18,Four Rooms (1995),Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,Ace Ventura: When Nature Calls (1995),Comedy,Adventure game based on the animated 1995 Ace Ventura: Pet Detective TV Series. Ace is on the trail of a conspiracy involving a rich German countess who loves fur and some missing Alaskan huskies.
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother a fellow cop tries to protect him.
21,Get Shorty (1995),Comedy|Crime|Thriller,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins (1995),Action|Crime|Thriller,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,Powder (1995),Drama|Sci-Fi,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25,Leaving Las Vegas (1995),Drama|Romance,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
26,Othello (1995),Drama,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.
27,Now and Then (1995),Children|Drama,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28,Persuasion (1995),Drama|Romance,Royal Navy captain Wentworth was haughtily turned down eight years ago as suitor of pompous baronet Sir Walter Elliot's daughter Anne despite true love. Now he visits their former seaside ...
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Based on the film of the same name this game follows a circus strong man and an orphan girl on their quest to find their little brother.
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,Dangerous Minds (1995),Drama,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,In a future world devastated by disease a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
34,Babe (1995),Children|Drama,Babe a pig raised by sheepdogs learns to herd sheep with a little help from Farmer Hoggett.
35,Carrington (1995),Drama|Romance,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.
36,Dead Man Walking (1995),Crime|Drama,A nun while comforting a convicted killer on death row empathizes with both the killer and his victim's families.
37,Across the Sea of Time (1995),Documentary|IMAX,A young Russian boy Thomas Minton travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...
38,It Takes Two (1995),Children|Comedy,Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical but complete strangers that accidentally meet one day. In an attempt to stop Alyssa's father from ...
39,Clueless (1995),Comedy|Romance,A rich high school student tries to boost a new pupil's popularity but reckons without affairs of the heart getting in the way.
40,"Cry, the Beloved Country (1995)",Drama,Female-born Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.
41,Richard III (1995),Drama|War,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.
42,Dead Presidents (1995),Action|Crime|Drama,A Vietnam vet adjusts to life after the war while trying to support his family but the chance of a better life may involve crime and bloodshed.
43,Restoration (1995),Drama,The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague and in the process falls in love with an equally poor woman.
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45,To Die For (1995),Comedy|Drama|Thriller,Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight including enlisting three teenagers to kill her husband.
46,How to Make an American Quilt (1995),Drama|Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
49,When Night Is Falling (1995),Drama|Romance,An uptight and conservative woman working on tenure as a literacy professor at a large urban university finds herself strangely attracted to a free-spirited liberal woman who works at a local carnival that comes to town.
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which begin when five criminals meet at a seemingly random police lineup.
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,When he discovers his adopted son is a genius a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
53,Lamerica (1994),Adventure|Drama,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
54,"Big Green, The (1995)",Children|Comedy,Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions while building self-esteem making friends and solving a variety of ...
55,Georgia (1995),Drama,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister but is always doing everything wrong. Her ...
57,Home for the Holidays (1995),Drama,After losing her job making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend Claudia Larson faces spending the holiday with her family.
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,N/A
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,A secretive terrorist commits crimes to disrupt the peace process between the Irish and the Brits. Both sides want him dead. When he decides to assassinate the pope and blame it on the UK only a musician with a secret past can stop him.
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...
61,Eye for an Eye (1996),Drama|Thriller,When the courts fail to keep behind bars the man who raped and murdered her daughter a woman seeks her own form of justice.
62,Mr. Holland's Opus (1995),Drama,A frustrated composer finds fulfillment as a high school music teacher.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"Don't Be a Menace to South Central While Drinking your Juice in the Hood" is a parody of several U.S. films about being in the 'Hood' for instance "Boyz n the Hood" "South Central" "...
64,Two if by Sea (1996),Comedy|Romance,Frank O'Brien a petty thief and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job which involves stealing a valuable painting. ...
65,Bio-Dome (1996),Comedy,Moronic best friends get themselves locked inside the Bio-Dome a science experiment along with a group of environmental scientists for one year.
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network which Walker would control and ...
68,French Twist (Gazon maudit) (1995),Comedy|Romance,After learning of her husband's infidelities a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
69,Friday (1995),Comedy,Two homies Smokey and Craig smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night. In that time they smoke more weed and get jacked and shot at in a drive-by.
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires with chaotic results.
71,Fair Game (1995),Action,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.
72,Kicking and Screaming (1995),Comedy|Drama,After college graduation Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her deciding instead to move in with several friends all...
73,"Misérables, Les (1995)",Drama|War,In 19th-century France Jean Valjean who for decades has been hunted by the ruthless policeman Javert after breaking parole agrees to care for a factory worker's daughter. The decision changes their lives forever.
74,Bed of Roses (1996),Drama|Romance,N/A
76,Screamers (1995),Action|Sci-Fi|Thriller,(SIRIUS 6B Year 2078) On a distant mining planet ravaged by a decade of war scientists have created the perfect weapon: a blade-wielding self-replicating race of killing devices known as...
77,Nico Icon (1995),Documentary,A look into the many lives of Christa Päffgen otherwise known as Nico; from cutie German mädchen to the first of the supermodels to glamorous diva of the Velvet Underground to cult item...
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.
79,"Juror, The (1996)",Drama|Thriller,When Annie Laird is selected as a juror in a big Mafia trial she is forced by someone known as "The Teacher" to persuade the other jurors to vote "not guilty". He threatens to kill her son...
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Five different criminals face imminent death after botching a job quite badly.
82,Antonia's Line (Antonia) (1995),Comedy|Drama,A Dutch matron establishes and for several generations oversees a close-knit matriarchal community where feminism and liberalism thrive.
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84,Last Summer in the Hamptons (1995),Comedy|Drama,Filmed entirely on location in East Hampton Long Island "Last Summer in the Hamptons" concerns a large theatrical family spending the last weekend of their summer together at the ...
85,Angels and Insects (1995),Drama|Romance,In the 1800s a naturalist marries into a family of British country gentry.
86,White Squall (1996),Action|Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87,Dunston Checks In (1996),Children|Comedy,A young boy befriends a larcenous orangutan in a luxury hotel.
88,Black Sheep (1996),Comedy,An experiment in genetic engineering turns harmless sheep into bloodthirsty killers that terrorize a sprawling New Zealand farm.
89,Nick of Time (1995),Action|Thriller,An unimpressive every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.
92,Mary Reilly (1996),Drama|Horror|Thriller,A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart Mr. Hyde.
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Maximillian is the only survivor from a race of vampires on a Caribbean Island and as a vampire he must find a mate to keep the line from ending. He knows that a child had been born to a ...
94,Beautiful Girls (1996),Comedy|Drama|Romance,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95,Broken Arrow (1996),Action|Adventure|Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96,In the Bleak Midwinter (1995),Comedy|Drama,N/A
97,"Hate (Haine, La) (1995)",Crime|Drama,A pretty popular teenager can't go out on a date until her ill-tempered older sister does.
98,Shopping (1994),Action|Thriller,You've run out of options no school no job. Steal a car smash a shop with a heavy car and reap the proceeds!. This movie is about underground England. The causes the benefits and the result of a life of 'crash and carry'.
